PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked
1,1,2,Passenger_1,female,,0,0,TKT-10000,33.18,,Q
2,0,3,Passenger_2,male,,0,0,TKT-10001,8.78,,S
3,0,3,Passenger_3,male,28.5,0,0,TKT-10002,2.46,C2,S
4,0,3,Passenger_4,male,15.5,0,2,TKT-10003,12.12,,S
5,0,1,Passenger_5,male,22.2,0,0,TKT-10004,64.09,,C
6,0,1,Passenger_6,male,13.2,0,2,TKT-10005,99.54,,
7,0,1,Passenger_7,male,57.5,0,0,TKT-10006,160.76,,S
8,1,3,Passenger_8,female,,0,0,TKT-10007,6.42,,C
9,0,3,Passenger_9,male,20.2,1,0,TKT-10008,17.05,C8,C
10,1,3,Passenger_10,female,33.0,0,0,TKT-10009,9.45,C9,S
11,0,1,Passenger_11,male,28.4,0,0,TKT-10010,50.22,,S
12,0,3,Passenger_12,female,26.9,1,0,TKT-10011,4.45,,S
13,1,3,Passenger_13,female,38.6,0,0,TKT-10012,22.25,,
14,0,1,Passenger_14,male,40.6,0,2,TKT-10013,122.7,C13,S
15,0,1,Passenger_15,male,22.6,0,0,TKT-10014,111.9,,C
16,0,1,Passenger_16,male,21.9,0,0,TKT-10015,80.2,,S
17,0,2,Passenger_17,male,26.1,0,0,TKT-10016,64.54,,C
18,1,3,Passenger_18,female,1.0,1,0,TKT-10017,14.09,C17,S
19,1,3,Passenger_19,female,8.8,0,0,TKT-10018,14.32,C18,S
20,1,2,Passenger_20,female,49.1,0,0,TKT-10019,9.78,,C
21,1,3,Passenger_21,male,,0,2,TKT-10020,7.68,,C
22,0,1,Passenger_22,male,,0,0,TKT-10021,153.58,,C
23,1,2,Passenger_23,male,,0,0,TKT-10022,21.67,C22,S
24,1,2,Passenger_24,female,34.4,0,0,TKT-10023,88.56,,S
25,0,3,Passenger_25,male,73.1,0,0,TKT-10024,19.79,,S
26,0,3,Passenger_26,male,45.7,0,0,TKT-10025,8.67,,S
27,0,1,Passenger_27,male,28.2,0,1,TKT-10026,91.88,,S
28,0,3,Passenger_28,male,16.6,0,1,TKT-10027,17.01,,S
29,0,3,Passenger_29,male,7.5,1,0,TKT-10028,5.95,C28,S
30,1,1,Passenger_30,female,,0,0,TKT-10029,175.29,,
31,1,3,Passenger_31,female,,0,0,TKT-10030,6.16,,S
32,0,1,Passenger_32,male,10.1,0,0,TKT-10031,60.2,,S
33,1,1,Passenger_33,female,20.9,1,0,TKT-10032,67.82,,S
34,1,3,Passenger_34,female,14.9,0,0,TKT-10033,13.43,,S
35,1,3,Passenger_35,female,53.6,0,0,TKT-10034,10.01,C34,S
36,1,3,Passenger_36,female,42.3,1,0,TKT-10035,1.35,,Q
37,0,2,Passenger_37,male,29.9,1,0,TKT-10036,16.27,C36,C
38,1,1,Passenger_38,male,50.7,0,0,TKT-10037,101.65,C37,Q
39,1,3,Passenger_39,male,31.1,0,0,TKT-10038,20.95,,
40,0,3,Passenger_40,female,17.9,1,0,TKT-10039,11.26,,S
41,0,1,Passenger_41,male,,3,1,TKT-10040,83.86,,S
42,0,3,Passenger_42,male,37.5,1,0,TKT-10041,15.22,,S
43,1,1,Passenger_43,female,,0,0,TKT-10042,75.7,,S
44,0,3,Passenger_44,male,27.3,0,0,TKT-10043,10.67,,S
45,0,2,Passenger_45,male,17.7,0,1,TKT-10044,22.76,,S
46,0,3,Passenger_46,male,10.6,1,0,TKT-10045,7.46,,S
47,0,2,Passenger_47,male,43.0,0,0,TKT-10046,37.93,,S
48,1,3,Passenger_48,female,56.7,0,0,TKT-10047,7.97,,S
49,0,3,Passenger_49,male,10.4,1,0,TKT-10048,23.25,,S
50,0,1,Passenger_50,male,37.9,0,2,TKT-10049,108.29,,S
51,0,3,Passenger_51,male,,1,0,TKT-10050,4.82,,S
52,0,3,Passenger_52,male,23.2,0,1,TKT-10051,15.67,C51,S
53,1,3,Passenger_53,male,,0,2,TKT-10052,5.09,,C
