age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;y
43;blue-collar;married;primary;no;4152;yes;no;cellular;18;may;147;2;-1;0;unknown;no
29;blue-collar;married;primary;no;334;no;no;unknown;28;jun;104;3;-1;0;unknown;no
48;blue-collar;married;secondary;no;1632;yes;no;telephone;13;jan;201;3;-1;0;unknown;no
50;management;married;secondary;no;-576;yes;yes;unknown;14;may;442;3;-1;0;unknown;no
20;blue-collar;divorced;tertiary;no;654;yes;no;unknown;27;aug;197;3;-1;0;unknown;no
26;blue-collar;married;unknown;no;-524;yes;no;cellular;23;jul;410;5;333;1;other;no
41;self-employed;divorced;secondary;no;518;no;yes;cellular;22;aug;533;2;-1;1;unknown;no
37;admin.;married;secondary;no;-660;yes;no;unknown;12;apr;82;1;-1;0;unknown;yes
40;entrepreneur;married;tertiary;no;98;no;no;cellular;22;apr;516;2;-1;1;unknown;no
31;services;married;secondary;no;2380;no;no;cellular;26;jul;265;1;-1;0;unknown;no
49;blue-collar;married;secondary;no;996;no;no;cellular;29;jun;990;5;-1;1;unknown;yes
48;blue-collar;married;secondary;no;-581;yes;no;cellular;20;aug;257;1;-1;0;unknown;no
41;blue-collar;single;secondary;no;-736;yes;yes;unknown;28;nov;173;1;-1;0;unknown;no
52;admin.;single;tertiary;no;903;no;no;cellular;26;apr;379;1;-1;0;unknown;no
45;management;married;secondary;no;4430;no;no;unknown;23;jun;394;2;-1;0;unknown;no
31;admin.;married;secondary;no;-482;yes;no;telephone;17;may;1124;1;-1;0;unknown;yes
44;blue-collar;married;secondary;no;8032;no;no;telephone;14;may;226;1;359;2;success;yes
30;unknown;single;secondary;no;190;no;no;unknown;20;nov;255;1;753;1;other;yes
49;technician;married;secondary;no;-745;no;no;unknown;28;may;196;4;-1;0;unknown;yes
39;blue-collar;married;secondary;no;-670;no;no;cellular;17;aug;337;2;-1;1;unknown;no
38;blue-collar;married;secondary;no;1468;no;no;unknown;22;aug;254;1;-1;0;unknown;no
33;management;married;tertiary;no;348;yes;no;unknown;18;nov;257;1;-1;0;unknown;no
53;technician;single;secondary;no;3928;yes;no;telephone;21;nov;799;1;-1;1;unknown;yes
38;technician;married;secondary;no;-569;no;yes;cellular;22;may;191;1;7;0;other;no
36;blue-collar;married;secondary;no;335;no;no;cellular;2;jun;381;1;-1;0;unknown;no
36;blue-collar;divorced;secondary;no;204;no;no;unknown;4;nov;763;4;-1;0;unknown;no
46;management;divorced;secondary;no;50;yes;no;unknown;2;may;227;1;-1;1;unknown;no
44;technician;married;secondary;no;-152;no;no;cellular;24;aug;260;2;-1;0;unknown;no
44;technician;married;secondary;no;-137;yes;no;cellular;28;jun;273;2;-1;0;unknown;no
45;admin.;single;secondary;no;406;no;no;cellular;12;jul;113;1;-1;0;unknown;no
62;management;married;primary;no;584;no;no;cellular;3;jul;241;1;-1;0;unknown;yes
36;blue-collar;married;secondary;no;512;yes;no;telephone;1;may;107;2;-1;2;unknown;no
35;services;married;secondary;no;2763;no;no;cellular;14;nov;960;1;-1;1;unknown;yes
31;technician;married;tertiary;no;-570;no;no;telephone;20;may;209;2;-1;0;unknown;no
46;management;divorced;secondary;no;-721;yes;yes;cellular;11;jul;536;2;-1;0;unknown;no
52;admin.;single;tertiary;no;2132;yes;no;cellular;20;aug;330;3;-1;0;unknown;no
39;management;divorced;secondary;no;-473;no;no;cellular;5;may;148;3;-1;0;unknown;no
31;management;single;secondary;no;-150;no;no;cellular;23;jul;237;1;-1;1;unknown;no
31;technician;single;primary;no;-305;yes;no;unknown;11;may;182;2;153;2;failure;yes
47;entrepreneur;single;secondary;no;-318;no;no;cellular;31;may;162;2;-1;0;unknown;no
48;technician;single;secondary;no;-645;no;no;cellular;24;jul;189;2;-1;1;unknown;no
46;blue-collar;married;tertiary;no;-280;no;no;cellular;15;aug;371;3;-1;0;unknown;no
33;blue-collar;married;unknown;no;1199;no;no;telephone;30;jul;395;1;-1;2;unknown;yes
42;blue-collar;married;secondary;no;192;yes;no;cellular;31;may;385;3;296;1;failure;no
41;admin.;married;tertiary;no;916;no;no;cellular;7;jul;370;2;719;1;success;yes
42;blue-collar;married;secondary;no;-232;no;no;cellular;18;may;392;1;-1;0;unknown;yes
49;self-employed;married;tertiary;no;1805;no;no;unknown;21;may;188;1;208;1;success;no
42;blue-collar;married;secondary;no;-240;yes;no;cellular;12;may;445;1;-1;1;unknown;no
47;admin.;married;tertiary;no;-767;yes;no;cellular;31;may;153;1;-1;2;unknown;yes
41;blue-collar;married;secondary;no;605;yes;no;cellular;22;aug;199;2;-1;0;unknown;no
43;admin.;married;tertiary;no;1462;no;no;cellular;24;feb;58;3;-1;1;unknown;no
47;technician;married;secondary;no;-273;yes;yes;cellular;7;may;139;3;-1;0;unknown;no
25;technician;divorced;tertiary;no;2738;no;yes;cellular;28;jun;390;3;-1;0;unknown;no
37;admin.;married;tertiary;no;-432;no;no;cellular;30;may;419;1;563;0;failure;no
35;services;married;primary;no;1245;yes;no;cellular;29;jul;613;2;-1;1;unknown;no
33;services;married;unknown;no;5378;yes;no;unknown;14;jul;144;5;-1;0;unknown;no
37;unknown;single;secondary;no;238;no;no;cellular;29;may;156;1;195;1;failure;no
56;entrepreneur;single;tertiary;no;-26;yes;no;cellular;1;jun;118;1;-1;1;unknown;no
31;blue-collar;married;secondary;no;87;no;no;cellular;7;may;398;1;514;1;success;no
50;management;married;primary;no;4688;no;yes;cellular;21;nov;131;1;-1;1;unknown;no
22;technician;single;tertiary;no;741;yes;no;unknown;24;aug;601;1;-1;1;unknown;no
36;services;divorced;secondary;no;8460;no;no;cellular;4;jun;191;3;-1;0;unknown;no
42;management;married;secondary;no;550;no;no;telephone;10;may;279;2;-1;0;unknown;no
46;blue-collar;married;tertiary;no;-330;no;no;cellular;3;jul;327;1;-1;0;unknown;no
47;services;married;primary;no;-288;yes;yes;cellular;4;jun;603;1;72;0;success;no
48;technician;married;tertiary;no;266;no;no;telephone;1;jul;799;2;-1;0;unknown;no
36;management;single;secondary;no;-758;yes;no;cellular;31;jun;359;2;-1;0;unknown;no
35;self-employed;divorced;secondary;no;-218;yes;no;cellular;28;jul;456;4;-1;1;unknown;no
49;management;divorced;primary;no;-203;no;no;cellular;19;jun;139;7;360;0;failure;no
38;management;single;tertiary;no;494;no;no;cellular;2;jun;749;1;-1;0;unknown;no
27;management;married;tertiary;no;6745;no;no;unknown;23;may;471;1;-1;0;unknown;no
28;student;divorced;tertiary;no;258;yes;no;unknown;17;apr;1297;1;-1;0;unknown;yes
30;unemployed;married;tertiary;no;-740;yes;no;telephone;25;jun;293;1;-1;0;unknown;no
45;management;married;tertiary;no;-460;no;no;telephone;16;may;155;4;104;0;success;no
41;entrepreneur;single;tertiary;no;526;no;no;cellular;1;may;226;3;-1;0;unknown;no
47;housemaid;married;primary;no;304;no;no;telephone;29;jun;593;1;-1;0;unknown;no
36;blue-collar;single;primary;no;4666;yes;no;cellular;28;jun;755;1;-1;1;unknown;no
42;blue-collar;divorced;secondary;no;1964;no;no;telephone;29;feb;962;1;-1;1;unknown;yes
47;admin.;single;secondary;no;1880;no;no;cellular;21;jun;164;1;-1;0;unknown;no
37;management;single;tertiary;no;-17;no;no;cellular;29;may;92;1;-1;1;unknown;no
45;blue-collar;married;tertiary;yes;2392;no;no;cellular;3;may;267;1;592;0;other;no
33;entrepreneur;married;tertiary;no;-452;yes;no;cellular;13;aug;138;3;-1;1;unknown;no
36;student;single;primary;no;1988;no;yes;unknown;10;aug;538;3;753;1;failure;yes
36;blue-collar;married;secondary;no;-73;yes;no;cellular;15;feb;255;1;-1;0;unknown;yes
27;retired;divorced;secondary;no;-642;no;no;cellular;2;jun;234;2;-1;0;unknown;no
45;technician;married;primary;no;1085;yes;no;telephone;26;apr;235;1;40;0;other;no
35;management;married;primary;no;3536;no;no;cellular;10;jun;217;1;-1;0;unknown;no
40;blue-collar;married;secondary;no;-170;yes;no;cellular;4;jun;91;4;-1;1;unknown;no
45;entrepreneur;single;secondary;no;4333;yes;no;telephone;7;aug;147;1;-1;1;unknown;no
45;management;single;secondary;no;-691;no;yes;cellular;4;aug;466;4;-1;0;unknown;no
47;management;divorced;secondary;no;-569;yes;no;cellular;22;aug;124;3;150;0;failure;no
39;blue-collar;married;secondary;no;47;yes;no;cellular;29;nov;454;2;-1;0;unknown;no
36;management;married;secondary;no;-143;no;yes;cellular;3;may;319;3;-1;0;unknown;no
39;management;married;secondary;no;-337;yes;no;cellular;1;apr;595;1;-1;1;unknown;no
22;blue-collar;married;tertiary;no;353;no;no;cellular;28;aug;295;1;-1;0;unknown;no
25;retired;married;tertiary;no;-254;no;no;cellular;12;jul;156;1;68;0;failure;no
26;admin.;married;tertiary;no;-134;yes;no;unknown;4;may;151;3;-1;0;unknown;no
30;entrepreneur;married;secondary;no;549;yes;yes;unknown;7;may;67;2;608;1;success;yes
44;technician;married;secondary;no;-337;no;no;cellular;21;aug;166;5;-1;1;unknown;no
30;blue-collar;single;secondary;no;86;no;no;cellular;3;may;248;3;-1;0;unknown;no
36;retired;single;primary;no;-325;yes;no;cellular;13;may;642;2;226;1;success;yes
54;management;married;secondary;no;-572;yes;no;unknown;31;may;467;1;153;1;failure;no
36;blue-collar;married;tertiary;no;1454;yes;no;cellular;14;may;228;1;44;1;failure;no
48;technician;single;tertiary;no;5150;yes;no;unknown;6;feb;130;1;-1;0;unknown;no
30;entrepreneur;single;primary;no;2280;yes;yes;cellular;24;aug;406;2;-1;0;unknown;no
38;blue-collar;single;secondary;no;628;no;no;unknown;14;jul;176;1;-1;1;unknown;no
30;technician;married;secondary;no;-323;yes;no;cellular;13;sep;132;1;-1;0;unknown;no
36;services;married;primary;no;-77;yes;no;cellular;8;jul;408;6;-1;1;unknown;no
49;self-employed;divorced;secondary;no;2256;no;no;cellular;24;jan;147;4;-1;0;unknown;no
22;admin.;married;tertiary;no;-788;yes;no;cellular;16;feb;518;1;-1;0;unknown;yes
45;blue-collar;married;secondary;no;-137;no;no;cellular;16;jun;71;2;-1;1;unknown;no
42;retired;divorced;unknown;no;1385;no;no;unknown;24;aug;146;3;-1;0;unknown;no
34;blue-collar;married;tertiary;no;-549;yes;no;cellular;12;nov;140;1;-1;1;unknown;no
25;blue-collar;single;secondary;no;775;yes;yes;telephone;21;jul;488;1;299;1;other;no
41;student;single;primary;no;699;yes;yes;telephone;6;jul;285;1;-1;1;unknown;no
34;blue-collar;married;tertiary;no;-644;yes;no;cellular;18;may;479;2;-1;1;unknown;no
42;admin.;single;tertiary;no;296;yes;no;cellular;14;may;117;2;-1;0;unknown;no
40;admin.;married;secondary;no;-309;yes;no;cellular;16;may;468;1;-1;1;unknown;no
57;management;single;secondary;no;763;yes;no;cellular;12;apr;439;3;-1;1;unknown;no
37;retired;divorced;tertiary;no;1243;no;no;cellular;5;may;148;1;-1;1;unknown;no
29;technician;single;secondary;no;734;yes;no;cellular;29;jul;158;1;-1;1;unknown;no
42;admin.;married;primary;no;279;yes;no;cellular;13;jul;161;3;491;1;failure;no
42;blue-collar;single;secondary;no;564;yes;no;cellular;24;jul;845;1;-1;1;unknown;yes
54;management;divorced;tertiary;no;-562;yes;no;telephone;29;nov;270;4;-1;1;unknown;no
49;entrepreneur;single;secondary;no;163;no;yes;cellular;14;nov;105;3;558;0;failure;no
44;management;single;tertiary;no;-406;no;no;cellular;26;jun;154;1;-1;1;unknown;no
55;technician;married;secondary;no;2176;yes;no;cellular;14;jun;1167;1;-1;0;unknown;yes
28;management;single;secondary;no;1272;no;no;telephone;3;nov;318;1;-1;0;unknown;no
33;management;married;secondary;no;1265;yes;no;telephone;28;jul;247;1;-1;2;unknown;no
30;unemployed;married;tertiary;no;5184;no;yes;cellular;27;jul;69;1;-1;0;unknown;no
36;admin.;divorced;secondary;no;-112;yes;no;unknown;18;may;137;1;436;0;other;no
26;technician;divorced;tertiary;no;-267;no;no;cellular;26;may;607;4;-1;0;unknown;no
47;management;divorced;secondary;no;-130;yes;no;cellular;21;feb;328;1;410;0;other;yes
38;management;married;tertiary;no;-679;yes;no;cellular;25;nov;141;1;-1;1;unknown;no
25;technician;married;tertiary;no;-661;yes;no;unknown;2;jul;1111;1;-1;0;unknown;yes
29;management;married;secondary;no;1141;yes;yes;cellular;26;may;321;2;179;2;success;no
43;management;married;secondary;no;-628;no;no;cellular;7;jun;1282;1;-1;0;unknown;yes
49;blue-collar;single;secondary;no;-526;no;no;cellular;31;feb;118;1;797;0;other;no
61;self-employed;married;tertiary;no;91;yes;no;telephone;30;feb;90;4;-1;2;unknown;no
71;management;married;primary;no;-174;no;yes;telephone;2;jun;267;1;-1;1;unknown;no
44;blue-collar;married;secondary;no;1759;yes;no;cellular;21;jun;71;1;-1;2;unknown;yes
30;services;married;tertiary;no;265;no;no;unknown;12;may;207;1;400;0;other;yes
18;retired;single;tertiary;no;-406;yes;no;unknown;8;may;422;2;-1;0;unknown;no
43;management;single;tertiary;no;1998;yes;no;telephone;31;may;387;3;-1;0;unknown;no
31;admin.;married;secondary;no;1373;yes;no;cellular;13;aug;317;1;-1;1;unknown;no
36;management;married;primary;no;-633;no;no;cellular;18;apr;144;1;-1;1;unknown;no
34;admin.;married;secondary;no;511;no;no;cellular;10;apr;526;4;-1;2;unknown;no
39;admin.;married;primary;no;-364;no;no;cellular;22;may;245;1;-1;0;unknown;no
51;management;divorced;secondary;no;-378;yes;no;cellular;8;jul;31;2;-1;0;unknown;no
42;admin.;single;tertiary;no;6212;yes;no;cellular;12;jul;125;1;-1;0;unknown;no
38;blue-collar;married;unknown;no;342;no;no;unknown;22;aug;127;4;-1;2;unknown;no
29;self-employed;single;primary;no;-18;no;no;unknown;7;nov;587;2;-1;1;unknown;yes
22;blue-collar;married;secondary;no;294;yes;yes;cellular;25;nov;125;1;792;0;other;no
35;unknown;married;primary;no;1729;no;no;cellular;31;apr;375;1;-1;1;unknown;no
39;technician;married;secondary;no;-356;no;no;cellular;22;aug;50;5;-1;0;unknown;no
59;management;married;tertiary;no;-255;yes;no;cellular;12;jun;414;2;-1;0;unknown;no
41;unemployed;married;secondary;no;1215;no;no;cellular;6;jan;68;2;-1;3;unknown;no
50;technician;single;tertiary;no;-659;yes;no;cellular;18;jun;573;1;-1;0;unknown;yes
35;blue-collar;divorced;secondary;no;2054;yes;no;cellular;14;may;245;1;576;0;failure;no
28;services;married;secondary;no;-680;no;no;telephone;8;jul;477;2;-1;0;unknown;no
30;blue-collar;single;secondary;no;-42;no;no;cellular;12;may;235;2;-1;1;unknown;no
32;services;married;secondary;no;-678;yes;no;cellular;30;may;164;2;-1;1;unknown;no
62;management;married;secondary;no;-519;yes;no;cellular;6;aug;64;4;-1;0;unknown;no
31;admin.;married;primary;no;3114;yes;no;unknown;9;jun;43;2;-1;0;unknown;no
49;blue-collar;married;tertiary;no;2216;yes;no;cellular;11;may;161;1;-1;0;unknown;no
31;technician;married;tertiary;no;2568;no;yes;cellular;29;jul;275;2;-1;3;unknown;no
50;blue-collar;divorced;tertiary;no;-643;yes;no;cellular;12;jul;96;5;-1;0;unknown;no
44;blue-collar;divorced;secondary;no;-517;yes;no;cellular;10;nov;933;1;-1;0;unknown;yes
38;blue-collar;married;secondary;no;641;no;no;cellular;10;may;667;1;-1;0;unknown;no
40;management;single;secondary;no;1342;yes;no;unknown;30;may;243;1;-1;0;unknown;no
33;technician;married;secondary;no;-407;yes;no;cellular;11;jun;727;2;-1;0;unknown;no
45;services;single;tertiary;no;-285;no;yes;cellular;12;aug;249;2;-1;0;unknown;no
35;management;married;tertiary;no;-546;yes;yes;cellular;12;may;98;2;-1;2;unknown;no
27;blue-collar;married;tertiary;no;4857;yes;no;unknown;28;nov;219;1;-1;0;unknown;no
27;admin.;single;tertiary;no;-218;yes;no;telephone;23;jul;440;1;-1;0;unknown;no
42;management;married;secondary;yes;231;yes;no;cellular;19;aug;144;1;781;0;success;no
57;technician;married;tertiary;no;292;no;no;unknown;7;jun;805;1;-1;0;unknown;no
42;services;married;secondary;no;2413;no;no;cellular;4;may;182;1;-1;2;unknown;no
39;management;married;primary;no;-477;yes;yes;unknown;3;may;482;2;-1;2;unknown;no
43;management;married;secondary;no;2627;yes;no;cellular;10;jul;232;1;-1;1;unknown;no
54;management;single;secondary;no;-595;yes;no;telephone;25;may;133;3;648;0;failure;no
42;management;single;secondary;no;2618;no;yes;cellular;24;may;87;1;137;1;success;no
36;management;married;secondary;no;-703;no;no;cellular;25;jul;519;1;-1;1;unknown;no
52;self-employed;married;secondary;no;88;no;no;cellular;21;jul;348;3;-1;0;unknown;no
45;management;single;secondary;no;4672;yes;no;cellular;16;nov;153;2;406;1;other;no
56;technician;single;tertiary;no;1302;no;no;cellular;12;aug;526;3;-1;0;unknown;no
42;management;single;primary;no;771;no;no;cellular;23;feb;159;2;667;0;other;no
27;admin.;married;secondary;no;-516;yes;no;cellular;7;jul;335;2;438;2;success;no
26;blue-collar;married;secondary;no;-374;yes;no;unknown;3;aug;376;2;410;0;success;no
57;management;married;primary;no;3307;yes;no;cellular;26;jul;1027;1;641;0;other;yes
58;management;married;secondary;no;859;no;no;unknown;15;may;988;1;-1;2;unknown;yes
38;management;married;primary;no;1771;yes;no;cellular;20;may;161;1;-1;0;unknown;yes
36;services;married;secondary;no;281;yes;no;cellular;30;may;131;1;-1;0;unknown;no
55;blue-collar;single;secondary;no;-73;no;yes;cellular;22;jun;313;2;-1;1;unknown;no
28;self-employed;married;secondary;no;1461;no;yes;cellular;24;jul;571;3;-1;0;unknown;no
31;services;single;secondary;no;521;yes;no;unknown;15;may;40;1;41;2;other;yes
47;management;married;tertiary;no;25;yes;no;telephone;10;jun;836;2;-1;0;unknown;no
36;management;married;tertiary;no;-633;yes;yes;cellular;11;may;193;4;-1;0;unknown;yes
40;blue-collar;single;secondary;no;1947;yes;no;cellular;28;apr;555;3;-1;0;unknown;no
38;management;single;primary;no;803;no;no;cellular;12;nov;195;2;-1;0;unknown;no
44;student;married;secondary;no;-302;no;no;cellular;29;may;782;1;-1;0;unknown;no
