ID,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,Distance(mi),City,State,Road_Condition,Temperature(F),Humidity(%),Visibility(mi),Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Junction,Railway,Roundabout,Station,Stop,Traffic_Signal,Sunrise_Sunset
A-1,4,2017-06-16 00:06:00,2017-06-16 01:11:43.278365,38.686682,-78.221143,0.31,Arlington,VA,Rural Road,60.6,31.0,4.5,10.8,0.0,Mostly Cloudy,False,False,True,False,False,False,False,False,False,Night
A-2,2,2017-03-18 20:01:00,2017-03-18 21:02:34.572489,32.860952,-83.999798,0.16,Augusta,GA,Interstate,50.4,33.0,11.4,5.1,0.0,Light Rain,True,False,False,False,False,False,False,False,False,Night
A-3,3,2020-10-07 10:20:00,2020-10-07 10:32:03.217935,35.84298,-121.577066,0.12,San Diego,CA,Urban Road,76.2,54.0,3.9,8.3,0.0,Fair,True,False,True,False,False,False,False,False,False,Day
A-4,3,2019-09-13 10:55:00,2019-09-13 11:25:30.279509,46.180889,-120.961081,0.61,Tacoma,WA,Urban Road,84.8,73.0,15.0,10.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,Day
A-5,2,2018-07-29 16:03:00,2018-07-29 17:06:33.570765,39.432392,-88.155839,0.19,Springfield,IL,Interstate,69.5,81.0,13.7,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,Day
A-6,2,2018-11-13 15:01:00,2018-11-13 15:25:21.005156,42.58614,-77.210481,0.35,Allentown,PA,Urban Road,68.6,61.0,5.7,5.0,0.0,Fair,False,False,False,False,False,False,False,False,True,Day
A-7,2,2021-04-23 14:06:00,2021-04-23 14:40:32.778759,36.939834,-120.889859,1.36,San Diego,CA,Interstate,62.9,90.0,3.5,14.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,Day
A-8,4,2019-05-19 17:18:00,2019-05-19 17:39:15.476545,28.467394,-80.950551,0.09,Orlando,FL,Rural Road,95.8,86.0,7.9,5.6,0.03,Rain,False,False,False,False,False,False,False,False,False,Day
A-9,2,2022-06-02 16:04:00,2022-06-02 16:37:57.609994,39.999599,-87.141077,0.08,Springfield,IL,Interstate,66.6,71.0,7.3,0.9,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,True,Day
A-10,2,2019-02-01 07:55:00,2019-02-01 08:08:15.443299,40.673423,-81.194361,0.24,Cleveland,OH,Urban Road,61.8,43.0,7.6,8.2,0.0,Fair,False,False,False,True,False,False,False,True,False,Day
A-11,2,2023-01-27 16:15:00,2023-01-27 17:35:33.979445,40.192584,-88.72454,0.06,Rockford,IL,Highway,78.6,39.0,7.1,17.1,0.0,Fair,False,False,False,False,False,False,False,False,False,Day
A-12,2,2019-09-24 13:38:00,2019-09-24 14:23:49.415871,48.692929,-119.737581,0.5,Spokane,WA,Interstate,47.8,55.0,11.9,0.0,0.0,Fair,False,False,False,False,False,False,False,False,True,Day
A-13,2,2022-01-10 06:58:00,2022-01-10 07:19:59.189237,37.155054,-78.42477,0.28,Durham,NC,Highway,63.0,67.0,9.4,14.9,0.02,Heavy Rain,False,False,False,False,False,False,False,False,False,Day
A-14,3,2016-08-19 21:54:00,2016-08-19 22:18:14.604855,30.730189,-97.87342,0.12,Houston,TX,Interstate,62.8,96.0,3.9,10.4,0.08,Thunderstorm,False,False,False,False,False,False,False,True,False,Night
A-15,3,2019-05-01 17:25:00,2019-05-01 18:42:56.552038,31.653396,-100.813498,0.2,Austin,TX,Urban Road,62.9,81.0,9.5,9.0,0.0,Fair,False,False,False,True,False,False,False,False,False,Day
A-16,4,2022-11-11 08:51:00,2022-11-11 09:26:24.715028,37.552334,-78.226832,0.17,Virginia Beach,VA,Rural Road,74.9,68.0,5.2,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,Day
A-17,2,2021-01-05 22:11:00,2021-01-05 22:35:17.822434,41.81297,-77.949575,0.71,Pittsburgh,PA,Interstate,92.8,39.0,11.2,2.5,0.0,Fair,False,False,False,False,False,False,False,False,True,Night
A-18,2,2017-04-24 12:43:00,2017-04-24 13:55:12.496443,40.313144,-82.945965,0.46,Cincinnati,OH,Highway,57.2,63.0,7.4,9.6,0.0,Fair,False,False,False,False,False,False,False,False,False,Day
A-19,3,2019-12-02 16:48:00,2019-12-02 17:07:40.073236,27.082381,-82.734696,0.38,Miami,FL,Urban Road,39.8,37.0,9.4,11.4,0.0,Fair,False,False,True,False,False,False,False,False,False,Day
A-20,2,2019-11-12 17:01:00,2019-11-12 17:39:16.539600,40.973319,-87.611017,0.34,Rockford,IL,Interstate,73.2,30.0,8.9,5.7,0.0,Fair,False,False,False,False,False,False,False,False,False,Day
A-21,2,2018-06-04 18:41:00,2018-06-04 20:08:14.512181,43.680938,-72.35486,0.8,Rochester,NY,Urban Road,39.8,68.0,8.9,5.1,0.0,Rain,False,False,False,False,False,False,False,False,False,Day
A-22,2,2022-02-02 21:39:00,2022-02-02 22:54:46.455464,28.933851,-82.638836,0.36,Tampa,FL,Interstate,70.6,40.0,13.0,10.4,0.0,Fair,False,False,False,False,False,False,False,False,False,Night
A-23,3,2022-02-18 22:41:00,2022-02-19 00:25:27.701486,48.449866,-121.584938,0.15,Tacoma,WA,Interstate,82.7,72.0,10.1,11.0,0.0,Fair,False,False,False,True,False,False,False,False,False,Night
A-24,2,2016-06-25 07:25:00,2016-06-25 08:41:28.336650,43.290963,-75.093181,0.16,Rochester,NY,Urban Road,65.4,59.0,8.4,13.6,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,Day
A-25,3,2019-10-10 15:29:00,2019-10-10 15:52:43.683192,30.094686,-82.532547,0.02,Miami,FL,Urban Road,28.7,55.0,4.3,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,Day
A-26,2,2021-08-09 18:12:00,2021-08-09 18:57:40.602834,41.447461,-91.290385,0.32,Chicago,IL,Urban Road,90.4,74.0,3.5,4.0,0.04,Rain,False,False,False,False,False,False,False,False,False,Day
A-27,2,2018-12-08 18:05:00,2018-12-08 18:20:37.471762,40.273607,-78.635428,0.35,Pittsburgh,PA,Highway,58.3,98.0,9.7,7.5,0.0,Mostly Cloudy,False,False,True,True,False,False,False,False,False,Day
A-28,2,2018-12-13 21:57:00,2018-12-13 22:13:23.047516,48.176727,-120.541938,0.29,Tacoma,WA,Urban Road,56.3,47.0,9.9,9.5,0.0,Cloudy,False,False,False,False,False,False,False,False,True,Night
A-29,2,2019-08-19 07:20:00,2019-08-19 08:01:37.303792,33.148042,-111.631258,0.3,Mesa,AZ,Urban Road,77.6,59.0,10.3,7.8,0.0,Fair,False,False,True,False,False,False,False,False,False,Day
A-30,4,2020-08-11 20:47:00,2020-08-11 21:00:29.086402,38.053526,-120.74574,0.3,Sacramento,CA,Rural Road,41.8,64.0,8.6,5.2,0.0,Fog,False,False,False,True,False,False,False,False,False,Night
A-31,4,2019-11-25 19:02:00,2019-11-25 20:18:03.886931,40.621429,-90.166428,0.09,Rockford,IL,Rural Road,55.4,94.0,7.9,6.2,0.0,Fair,False,False,False,False,False,True,False,False,False,Night
A-32,2,2019-08-08 11:07:00,2019-08-08 11:23:59.719067,33.257193,-112.393144,0.37,Tucson,AZ,Interstate,44.1,65.0,5.5,19.5,0.0,Fair,False,False,False,False,False,False,False,False,False,Day
A-33,2,2022-01-12 19:07:00,2022-01-12 19:45:33.849383,43.545542,-75.370624,0.03,Buffalo,NY,Urban Road,102.6,88.0,9.2,2.2,0.0,Fair,False,True,True,False,False,False,False,False,False,Night
A-34,2,2019-01-19 18:27:00,2019-01-19 19:16:21.111342,31.382148,-82.471478,0.17,Atlanta,GA,Highway,67.9,81.0,10.4,2.8,0.0,Light Rain,False,False,True,False,False,False,False,False,False,Day
A-35,2,2021-01-21 19:53:00,2021-01-21 20:58:24.971673,41.267748,-81.285183,0.23,Cleveland,OH,Urban Road,88.1,60.0,10.1,5.2,0.02,Rain,False,False,False,True,False,False,False,False,False,Night
A-36,2,2018-01-07 13:07:00,2018-01-07 13:40:17.477514,32.664479,-84.909083,0.17,Atlanta,GA,Highway,80.4,65.0,12.3,7.2,0.0,Cloudy,False,False,False,False,False,False,False,False,False,Day
A-37,2,2019-06-28 15:12:00,2019-06-28 15:31:01.084866,27.879747,-82.113106,0.71,Tampa,FL,Interstate,90.0,95.0,9.9,13.3,0.0,Mostly Cloudy,False,False,True,True,False,False,False,False,False,Day
A-38,4,2022-12-06 09:16:00,2022-12-06 09:44:28.165974,41.079276,-78.692003,0.43,Allentown,PA,Rural Road,37.2,62.0,7.7,21.2,0.02,Rain,False,False,False,False,False,False,False,False,False,Day
A-39,2,2020-08-07 03:23:00,2020-08-07 03:44:56.485009,33.402215,-83.82912,0.08,Augusta,GA,Interstate,51.8,69.0,6.0,13.7,0.0,Light Rain,False,False,True,False,False,False,False,False,False,Night
A-40,3,2023-01-12 13:04:00,2023-01-12 13:56:55.774695,42.985093,-75.644358,0.18,Albany,NY,Rural Road,69.4,46.0,12.0,8.9,0.0,Fair,False,False,False,True,False,False,False,False,False,Day
A-41,3,2018-07-16 17:35:00,2018-07-16 18:11:35.432493,36.359102,-117.589837,0.27,San Diego,CA,Rural Road,85.9,29.0,12.4,11.5,0.0,Light Rain,False,False,False,False,False,False,False,False,False,Day
A-42,3,2018-04-24 15:55:00,2018-04-24 16:27:29.163724,38.137108,-118.749349,0.04,San Diego,CA,Urban Road,35.2,40.0,11.7,23.2,0.0,Light Rain,False,False,False,False,False,False,False,False,False,Day
A-43,2,2019-11-08 19:59:00,2019-11-08 20:30:29.211526,42.307303,-83.570829,0.26,Cincinnati,OH,Urban Road,56.3,56.0,14.8,7.1,0.0,Fair,False,False,False,False,False,False,False,False,False,Night
A-44,2,2022-01-28 21:57:00,2022-01-28 23:18:16.927549,48.353556,-120.433512,0.18,Spokane,WA,Highway,56.9,85.0,7.2,8.1,0.0,Cloudy,False,False,True,True,False,False,False,False,False,Night
A-45,3,2019-06-22 11:20:00,2019-06-22 12:09:38.790531,31.817396,-100.763708,0.81,Austin,TX,Interstate,77.7,90.0,8.2,2.5,0.02,Thunderstorm,False,False,False,False,False,False,False,False,True,Day
A-46,2,2021-04-04 07:36:00,2021-04-04 08:37:46.741916,34.994866,-111.283119,0.11,Phoenix,AZ,Urban Road,47.6,24.0,11.3,11.5,0.0,Fair,False,False,True,False,False,False,False,False,False,Day
A-47,3,2020-12-24 21:31:00,2020-12-24 22:08:14.039226,31.953726,-98.289552,0.28,San Antonio,TX,Highway,79.4,40.0,9.2,5.0,0.0,Light Rain,False,False,True,True,False,False,False,False,False,Night
A-48,2,2019-11-29 09:31:00,2019-11-29 09:46:14.713059,41.713175,-91.134963,0.6,Springfield,IL,Highway,74.7,28.0,8.6,7.7,0.0,Mostly Cloudy,False,False,False,False,False,False,False,False,False,Day
A-49,3,2021-09-07 11:54:00,2021-09-07 12:07:11.392179,38.143342,-79.071651,0.22,Richmond,VA,Urban Road,76.8,43.0,12.1,4.4,0.0,Snow,False,False,False,False,False,False,False,False,False,Day
A-50,3,2017-09-23 04:40:00,2017-09-23 05:18:01.381170,41.878606,-76.522276,1.37,Philadelphia,PA,Highway,67.0,35.0,10.4,9.0,0.01,Thunderstorm,False,False,False,False,False,False,False,False,True,Night
A-51,2,2021-12-07 08:24:00,2021-12-07 09:16:09.237014,27.123747,-83.788874,0.55,Jacksonville,FL,Interstate,36.6,75.0,7.2,6.8,0.0,Cloudy,False,False,False,False,False,False,False,False,True,Day
